t,trust,residual,authority_scale,fault_label,supervisor_mode,hold
2.67,0.8656597730952108,0.11157599843248221,0.8656597730952108,nominal,nominal,false
2.78,0.8724702496376743,0.10398815648600512,0.8724702496376743,nominal,nominal,false
2.87,0.8855719987980275,0.08297680364924487,0.8855719987980275,nominal,nominal,false
2.97,0.8980078551766226,0.07251405076645036,0.8980078551766226,nominal,nominal,false
3.07,0.8952010949921272,0.09618416949786997,0.8952010949921272,nominal,nominal,false
3.17,0.8823963795131744,0.12260104463283847,0.8823963795131744,nominal,nominal,false
3.28,0.8567835274116804,0.16703979083288995,0.8567835274116804,nominal,nominal,false
3.37,0.8571272007971064,0.12797307259396173,0.8571272007971064,nominal,nominal,false
3.47,0.8528043035674442,0.13904815854799607,0.8528043035674442,nominal,nominal,false
3.57,0.8409085069460719,0.1622669420645262,0.8409085069460719,nominal,nominal,false
3.67,0.8380236250331998,0.1515717408559475,0.8380236250331998,nominal,nominal,false
3.77,0.8396179757507903,0.14330331664425686,0.8396179757507903,nominal,nominal,false
3.87,0.8384480499907851,0.14858155756057007,0.8384480499907851,nominal,nominal,false
3.97,0.8360073193706913,0.15292232564806307,0.8360073193706913,nominal,nominal,false
4.07,0.8374324409873002,0.14572106331676546,0.8374324409873002,nominal,nominal,false
4.17,0.8318251375762484,0.16191328794152252,0.8318251375762484,nominal,nominal,false
4.28,0.8268723598385163,0.1659418350124364,0.8268723598385163,nominal,nominal,false
4.37,0.8261507028219113,0.16024100702763172,0.8261507028219113,nominal,nominal,false
4.47,0.8265202474876038,0.15821702116964406,0.8265202474876038,nominal,nominal,false
4.57,0.8236937930206488,0.165930731928808,0.8236937930206488,nominal,nominal,false
4.67,0.8155878504897427,0.1823887832620525,0.8155878504897427,nominal,nominal,false
4.77,0.8077581370726693,0.19011587448304915,0.8077581370726693,nominal,nominal,false
4.87,0.8026279908774389,0.19124810995673536,0.8026279908774389,nominal,nominal,false
4.97,0.7959877241504656,0.2006364364350356,0.7959877241504656,nominal,nominal,false
5.07,0.7904750174255608,0.20469766713170126,0.7904750174255608,nominal,nominal,false
5.49,0.7850598842626082,0.21032981290704758,0.7850598842626082,nominal,nominal,false
5.49,0.7491018933412721,0.3030051544687539,0.7491018933412721,nominal,nominal,false
5.57,0.7290969693223875,0.2983136547842057,0.7290969693223875,nominal,nominal,false
5.68,0.721481594305013,0.2853398943495088,0.721481594305013,nominal,nominal,false
5.79,0.7249571740190248,0.2620642923072477,0.7249571740190248,nominal,nominal,false
5.87,0.7384809184637673,0.2300509535430352,0.7384809184637673,nominal,nominal,false
5.97,0.7524894081500755,0.2140223657196339,0.7524894081500755,nominal,nominal,false
6.07,0.7662916404132072,0.19961116503864398,0.7662916404132072,nominal,nominal,false
6.18,0.774595912544961,0.19955045960498824,0.774595912544961,nominal,nominal,false
6.27,0.7827557389048696,0.19118237652906778,0.7827557389048696,nominal,nominal,false
6.37,0.7914675270791794,0.18124212334373668,0.7914675270791794,nominal,nominal,false
6.48,0.8013327458112314,0.1693174331447246,0.8013327458112314,nominal,nominal,false
6.58,0.8092284664116035,0.16428701485263938,0.8092284664116035,nominal,nominal,false
6.67,0.8205650629636394,0.1477087392332659,0.8205650629636394,nominal,nominal,false
6.78,0.8346528348631232,0.12978057948961474,0.8346528348631232,nominal,nominal,false
6.87,0.8418988493756352,0.13272325069125565,0.8418988493756352,nominal,nominal,false
6.97,0.8500387810265436,0.12350963315095075,0.8500387810265436,nominal,nominal,false
7.07,0.8633585323672229,0.10337265436486438,0.8633585323672229,nominal,nominal,false
7.17,0.8786914318643164,0.08623636035657492,0.8786914318643164,nominal,nominal,false
7.27,0.8935929344004132,0.07316562858584494,0.8935929344004132,nominal,nominal,false
7.37,0.8952742063573734,0.08984356722977871,0.8952742063573734,nominal,nominal,false
7.47,0.8999753039267545,0.08131926304844815,0.8999753039267545,nominal,nominal,false
7.57,0.9044436403327711,0.07754331003323026,0.9044436403327711,nominal,nominal,false
7.67,0.9031817713153414,0.08660779485517571,0.9031817713153414,nominal,nominal,false
7.77,0.9033164338734302,0.08454897770111792,0.9033164338734302,nominal,nominal,false
7.87,0.9008770270130972,0.09038042244857068,0.9008770270130972,nominal,nominal,false
7.97,0.901829171979156,0.08478977337857016,0.901829171979156,nominal,nominal,false
8.07,0.90241940051274,0.08474608645519204,0.90241940051274,nominal,nominal,false
8.17,0.9077373341546053,0.07337577826896992,0.9077373341546053,nominal,nominal,false
8.27,0.9135327379638103,0.06747094638502711,0.9135327379638103,nominal,nominal,false
8.37,0.9191380839060677,0.06267731599332588,0.9191380839060677,nominal,nominal,false
8.47,0.9278054923881415,0.050848067602848844,0.9278054923881415,nominal,nominal,false
8.57,0.9382862144431605,0.03923663180425822,0.9382862144431605,nominal,nominal,false
8.67,0.9408720940916505,0.047361641468657636,0.9408720940916505,nominal,nominal,false
8.77,0.9365134224102922,0.060497607323574454,0.9365134224102922,nominal,nominal,false
8.87,0.9338078226561761,0.0607001389559948,0.9338078226561761,nominal,nominal,false
8.97,0.9254052921503257,0.07603070091118817,0.9254052921503257,nominal,nominal,false
9.07,0.9187884287743909,0.07963397009701134,0.9187884287743909,nominal,nominal,false
9.17,0.9082406144135255,0.09484970482623803,0.9082406144135255,nominal,nominal,false
9.27,0.8992820806022982,0.1010117501341391,0.8992820806022982,nominal,nominal,false
9.37,0.8871743474879985,0.11699790358343284,0.8871743474879985,nominal,nominal,false
9.47,0.8756147232880325,0.12735865304100474,0.8756147232880325,nominal,nominal,false
9.57,0.8633109257509549,0.14049166033595578,0.8633109257509549,nominal,nominal,false
9.67,0.8485148151474369,0.15897698798416554,0.8485148151474369,nominal,nominal,false
9.77,0.83140154675244,0.18000378300606168,0.83140154675244,nominal,nominal,false
9.87,0.816270739262196,0.19267318355580926,0.816270739262196,nominal,nominal,false
9.97,0.8009123341809985,0.2093248230130136,0.8009123341809985,nominal,nominal,false
10.07,0.7864422196519656,0.2235193604444685,0.7864422196519656,nominal,nominal,false
10.17,0.7719760492630987,0.23942756858107553,0.7719760492630987,nominal,nominal,false
10.27,0.7580706022249866,0.25406599164187144,0.7580706022249866,nominal,nominal,false
10.37,0.7467516674829624,0.26251782372341576,0.7467516674829624,nominal,nominal,false
10.47,0.7376880223180593,0.2690300474684466,0.7376880223180593,nominal,nominal,false
10.57,0.7281127067519813,0.2810190762734283,0.7281127067519813,nominal,nominal,false
10.67,0.7217315507874201,0.2828774424193411,0.7217315507874201,nominal,nominal,false
10.77,0.7207218892873741,0.2746712589890125,0.7207218892873741,nominal,nominal,false
10.87,0.7178799871932566,0.28117390606781945,0.7178799871932566,nominal,nominal,false
10.97,0.7233316011744451,0.26053810403078465,0.7233316011744451,nominal,nominal,false
11.07,0.7283303016372529,0.25563200366125444,0.7283303016372529,nominal,nominal,false
11.17,0.7337977418882929,0.24867292936939406,0.7337977418882929,nominal,nominal,false
11.27,0.7416993224893883,0.2357980490842496,0.7416993224893883,nominal,nominal,false
11.37,0.7502684793197372,0.22528090346763485,0.7502684793197372,nominal,nominal,false
11.47,0.7571200520439713,0.22062539561219027,0.7571200520439713,nominal,nominal,false
11.57,0.7637715121345942,0.21375677681627592,0.7637715121345942,nominal,nominal,false
11.67,0.7737423245696874,0.1978092547014476,0.7737423245696874,nominal,nominal,false
11.77,0.7872956472548747,0.17804721287577116,0.7872956472548747,nominal,nominal,false
11.87,0.7989329629066575,0.16905366653984377,0.7989329629066575,nominal,nominal,false
11.97,0.8104174204437338,0.157643366469707,0.8104174204437338,nominal,nominal,false
12.07,0.8206713386940816,0.14922017369545207,0.8206713386940816,nominal,nominal,false
12.17,0.8297689747133524,0.1419130369431947,0.8297689747133524,nominal,nominal,false
12.27,0.8380003208500201,0.13509198133968028,0.8380003208500201,nominal,nominal,false
